,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,264.37250605715974,99.41833827007248,152.34921051735103,209.11841401599708,368.8416116648707,,185.936018038347,0.04950483719183499,0.10506180287834642,0.08305136082373668,0.05764342084261872,0.06798191038402815,,0.13092610889442247,142.1752527937104,-10.495575686535238,13.761555516442714,86.58092099144358,342.6955987338362,,77.01217807710009,389.8831010244237,155.21358885513902,248.8365395478632,328.79599395323044,523.5808226499123,,325.91159000749843,79.0,83.0,86.0,84.0,29.0,,7140.0,365.355593673773,155.79972242660273,249.91294715742615,319.0967330736543,402.85594417507167,,316.70417863254875
1,EDDB,264.7258572048611,142.24449760035463,169.4079875704608,185.69231214021386,225.07201209435095,266.9451924308401,204.893151365399,0.03397049433558739,0.15203838878962958,0.09241157593279052,0.051233307997227334,0.041439196957698855,0.036940395554097435,0.08377049797919058,58.99166304976807,-78.08873025994556,13.623331963261576,101.60345137746724,73.82782138922276,118.04597047899534,64.18456249884643,360.66356506066865,347.0488405342021,279.23410205168227,298.46280327111896,344.9185449385544,377.3389391566534,340.23486530327244,81.0,76.0,79.0,76.0,78.0,61.0,9852.0,358.02327890593233,340.39631102802883,280.68371189055347,282.50110451589956,339.10546809068404,361.37328934934635,334.1428412746349
2,EDDF,207.01418728298611,77.59706353081597,129.2984212239583,149.59938115658963,207.47632179797534,,132.4503868786952,0.03567651566526423,0.08368382390391703,0.07080000292510596,0.041156341092978894,0.03825184868153178,,0.1451464539212063,9.544894748263605,-24.618937174479214,-17.16450466579848,-15.418202275815059,-12.323923030369718,,-3.6202714829943132,263.4347534134402,99.84968492841243,166.9504516480062,229.56483104717657,295.86216039195585,,205.40341930770313,90.0,90.0,90.0,92.0,71.0,,8637.0,264.7366464600227,97.30919538885841,166.99609689493192,230.30154011909508,297.7093563474887,,205.38340295413727
3,EDDH,187.6585693359375,71.61486167096078,155.55750488281245,134.6577745225694,152.1632745916193,237.9322916666664,134.61009658027103,0.02592957485962565,0.0765346968361856,0.08530396966973326,0.037099672337302145,0.028025443880924827,0.032919979670380996,0.11173099741274699,37.25482177734335,-28.10774523146615,-60.24335449218736,-48.174354383680445,-21.034679066051137,153.839246961805,-21.68920869594864,232.3255133242493,98.18612988291501,254.33296449678895,181.05082351834523,187.8958704375672,298.66557388286657,187.69338149316735,48.0,47.0,50.0,45.0,44.0,18.0,5478.0,231.7457647249752,95.0940182011214,249.60375755375279,176.49610171058086,188.87338060681964,263.41903545783595,186.45302337975087
4,EDDL,238.97023338607585,111.08165649414063,212.94990361201297,205.69292117387815,228.83259041078628,,191.0862186359556,0.03991347662141865,0.12027300076616475,0.11645224679869146,0.05673594516736411,0.04213461683288282,,0.09539391612731804,104.23020915743646,-17.744456787109417,40.9415552709011,55.81100385617002,148.42103232106854,,63.474182804854216,339.618405741012,269.2773131884279,349.8373606103436,304.8556182642553,338.7150296570942,,318.08470030674306,79.0,75.0,77.0,78.0,62.0,,7509.0,325.29397505885373,270.501421883863,349.71167693191563,301.6431672576003,306.9506887770219,,311.70794675748493
5,EDDM,187.44850297407658,67.84802451830232,120.73204872824932,145.11665760387075,190.8022580030488,,131.18645238558344,0.03019628799664935,0.07261078275568295,0.0660160432279624,0.0399847452768712,0.03514875274504974,,0.06980522103477226,69.44973477450246,8.368422604678678,62.65989685058605,70.09717629172599,44.1256073742378,,61.307459721915855,234.49032303001272,85.8143928688384,163.7220095440291,192.20568511977922,243.92433500651103,,184.63982863386101,88.0,89.0,88.0,88.0,82.0,,8922.0,225.2532480849016,85.8892705400627,152.12365541680262,179.99323715295387,241.3763257833511,,174.17422860192215
6,EDDP,242.9104947916667,79.74878016880581,116.20795864529077,134.73335161601022,195.31579417913733,319.96657492897697,154.31564565085233,0.03449776209197422,0.08599064581386152,0.06363803049402716,0.03704419081963555,0.035977380963129815,0.0442156539400678,0.06852957639547924,-4.883411458333885,4.39740774972094,21.680255466037437,55.4456201840755,34.122861190580984,280.9734108664765,51.23945146981289,383.67540769985595,113.24379884899945,226.23312733164283,304.99611888787643,365.91767819162834,614.149416923215,339.3415563547293,75.0,70.0,72.0,73.0,71.0,22.0,8309.0,386.2278211504023,113.97542671835039,226.772219235705,301.9895681824166,366.9162576036303,558.9588906959942,335.470944975387
7,EGCC,226.08260947779596,120.10574462890625,181.7815734863281,216.73005134828622,192.221826171875,,179.72362720130553,0.03889896530432395,0.12922307553925566,0.09917425568404267,0.05962909773741215,0.03540220305800467,,0.37287497826934346,-5.792159231085837,-57.89195068359382,20.488104248046945,-38.17928584929418,34.731982421875,,-11.668977962296816,282.986203643698,208.75262576270887,233.1644444850672,252.68479008243912,241.1032407211382,,230.79643170739234,38.0,25.0,20.0,31.0,30.0,,2710.0,286.7247672197127,204.70044376090232,238.29635630394782,253.91273457642689,242.66720950493513,,230.54379313022247
8,EGKK,222.2141309716235,96.48906962076823,203.37848578559027,188.48861581307872,476.2220703125,,176.16853713134014,0.04423545898196973,0.10350749433956107,0.11046002781332896,0.051804686842335405,0.08746702645709648,,0.1170464977102593,14.071530396910857,-41.62712775336378,-53.383558485242936,-51.80821096161253,476.2220703125,,-20.162363263660282,298.2819122711577,119.68133253224379,266.3617364497361,233.26678031702278,556.2516040048511,,246.55673761036422,87.0,36.0,27.0,81.0,10.0,,4544.0,299.6770730220842,113.80044304472523,265.92847497423827,228.8578517931656,303.0005256783962,,245.7580020284653
9,EGLL,193.3938973166726,82.71129638671874,249.73089920847033,191.95431663876494,302.7809787326389,,172.34706844823927,0.04089071287571924,0.08824293646864458,0.13602191061435376,0.05267417349146256,0.05570214592486401,,0.12422870915608349,16.601971712979392,-4.822888183593786,-60.96973298725313,-34.19888741629448,235.69569227430554,,-9.374087343562248,242.08775564196432,108.75274775054463,425.30100567870693,237.08643565494845,358.6253354364,,248.40103693368218,88.0,25.0,19.0,84.0,9.0,,3896.0,242.90188466914168,110.88610848553,432.44197457416624,236.0159985890448,286.69169998926037,,248.25595800843948
10,EHAM,242.28177476203297,105.38853509742096,145.49868809491736,180.2618202466643,247.2853044782366,,161.76728913160707,0.04255621573491148,0.11371775005125627,0.07957650900126934,0.049718721628180244,0.04559523550745088,,0.09036389363075713,81.19081975125697,-33.81370599585848,-18.04006572153364,9.41696201281617,126.56897844587054,,22.02569990219414,329.2751190081998,176.0919175833966,205.79423808193286,251.5318128488416,331.25331816262576,,243.64053113186236,87.0,83.0,87.0,89.0,56.0,,8086.0,320.9582937910499,173.86547674037482,206.19043826978745,252.77959451393022,308.8897141046075,,242.65790535052858
11,EIDW,217.80169878949167,92.69363403320312,163.96917255108173,191.74364406779662,170.7940188891267,,166.87229167328957,0.038387516564897695,0.1001242599722552,0.09015174730273917,0.05237723159987191,0.031467516736899084,,0.10681199969875976,27.803308507898073,-16.972859700520903,-19.430091271033515,-69.6660570047668,28.22156597816781,,-10.3828908378337,281.2020209598017,120.03057651423735,210.80281210767316,244.2108211725975,217.62787134735086,,238.6551995708269,91.0,24.0,13.0,59.0,73.0,,4533.0,281.3744300381831,121.38015595393544,218.47651721526225,236.0723287422944,217.28362969691278,,238.45553811907354
12,EKCH,246.29259956173797,78.59521484375001,112.81396782107467,101.25679211738783,141.88878173828124,225.77770683092976,140.6381261338494,0.029928804428207133,0.085013333844547,0.06147043723532009,0.027893557959628185,0.02610442587472766,0.031231106852987918,0.05559848649286378,-84.95127905868942,-31.029060132575793,-70.21933653296482,-27.523030598958158,-58.21280517578125,-77.40155498798124,-42.165982845247804,305.0941549928446,102.2098488748291,140.58803608605322,125.21484836009138,229.2877888676203,283.96970373696547,217.78593709754855,41.0,33.0,41.0,39.0,40.0,39.0,5360.0,296.6687827982881,98.89604247201407,123.30894811038138,123.749364742983,224.60029325589676,276.7891029338039,213.68496245767054
13,EPWA,410.27570452008933,93.11531349464701,109.55834960937497,177.45352608816958,217.69894935344828,301.6797746930805,216.9122704720271,0.042627554167518455,0.10019577007955906,0.059822635320698536,0.048900841598494796,0.0400990903441278,0.041728844248746254,0.10294861165170949,-55.76642717633961,-42.11422842520258,40.72501046316976,-25.284528459821267,-43.14900996767241,-167.27021135602732,-46.37254888615293,514.8189819717613,118.64077827567431,165.12954330230244,251.87455759927445,265.85693491347337,363.12091388160934,301.0437934877784,28.0,27.0,28.0,28.0,29.0,28.0,4418.0,521.1811128423149,113.02734572425118,162.9654256256065,255.2008352780836,266.9753941732872,328.21454623640125,297.48442532852545
14,LBSF,333.9410041360291,102.49592517671131,146.96722900390628,170.81855211759867,207.1102878736413,328.02604874320645,213.60407887150467,0.03431223420810459,0.10979042510483968,0.0801607177108961,0.04709878117997725,0.038120325045001034,0.045383094437338144,0.060061508531135586,131.01131663602908,-41.52930850074407,64.53752197265636,66.48186934621718,23.531313688858695,51.07925016983656,54.57692851690407,388.9637074746542,158.62288581224612,229.96000847209888,248.31975640703308,256.6221057212039,379.03315896816264,292.2764594995968,17.0,21.0,25.0,19.0,23.0,23.0,3325.0,377.50741805437434,156.87053024962222,225.26954630813182,245.81094665699382,261.28417094314364,384.01657477177685,287.1788487465969
15,LEBB,55.96121916277655,,,,,,50.16888651230556,0.8197457074782073,,,,,,0.7245883864858348,-13.071478843688977,,,,,,-8.63887644918402,92.15725417587777,,,,,,91.24004664223104,58.0,,,,,,421.0,92.02226698577077,,,,,,90.93821560887879
16,LEBL,100.9483576235564,68.7896444586259,,,,,62.49258386199646,0.07591284490996969,0.07365107467238918,,,,,0.17565096938147112,19.67546413255778,-12.15805536584013,,,,,5.937535400073016,146.63188270666555,122.60727665951877,,,,,114.44504726306538,92.0,79.0,,,,,1629.0,146.10203542101263,122.78255494912962,,,,,114.3260167790274
17,LECO,182.29168304839692,109.81761916140294,,,,,97.10240624932682,0.18482874230618593,0.11798571103102512,,,,,0.5407261369723929,-63.29639781605113,-73.1941333527261,,,,,-42.820940304349804,269.4938139773715,140.6220483877296,,,,,194.4878723022718,77.0,47.0,,,,,1394.0,263.6728709439785,121.36966786467076,,,,,189.78339556513114
18,LEVC,28.80293764386858,,,,,,52.16569667113455,1.063254373766459,,,,,,1.8497816248126917,-15.095060620989118,,,,,,-6.05325329931159,35.656913979189326,,,,,,121.99112706156225,7.0,,,,,,38.0,34.89241229736487,,,,,,123.47637281784404
19,LEZL,117.30191441586143,110.94891160534277,,,,,67.78651436282597,0.12143512147719415,0.12010162953666895,,,,,0.9694785540570393,24.00351996170846,-39.30921985257063,,,,,-10.15313447679033,157.47140957215643,142.81927666223731,,,,,111.27848220599296,76.0,31.0,,,,,1164.0,156.66532334965163,139.57268854711694,,,,,110.86195561251012
20,LFLL,114.49844431322674,63.654839094295056,104.93389040924782,306.83307756696433,,,86.51917882245247,0.03632417599205573,0.06756670668192435,0.057267775690021505,0.08456121969760913,,,0.12518548313016795,-13.241642441860307,-10.62497019213303,-0.190590082212825,306.83307756696433,,,5.715956812412758,192.46698639665573,85.67830500233906,174.50937707893237,356.78921230404416,,,150.30801618678325,86.0,86.0,86.0,7.0,,,4451.0,193.13711006592624,85.51558841439727,175.53279657676816,196.66555014850235,,,150.2161682106738
21,LFML,128.33789339932534,99.95906704286986,136.24784157492897,,,,118.06397092815608,0.044619902254238945,0.10649760718686109,0.07428722096411375,,,,0.20627334199155803,28.983367919922003,-40.810403944570844,-4.411898526278264,,,,0.6788302956482991,185.11159053957834,282.05316499019585,248.3351718862614,,,,272.1367084575548,88.0,79.0,88.0,,,,3703.0,183.87624991418286,280.868419920152,249.7188893501846,,,,272.1726145704871
22,LFMN,156.01106649370334,91.23859462453359,162.01665666368274,244.69646990740748,,,146.36506497188796,0.04172250681443619,0.09635330777729761,0.08866780226843402,0.0673942137252482,,,0.11342112567711822,35.07458678288262,-46.42247624183773,-1.3967344495983758,155.32101779513903,,,29.76171963533525,253.33017781036094,150.73224465617656,255.37021128250788,382.4109670187058,,,260.79209972590985,67.0,67.0,72.0,27.0,,,3801.0,252.78385807289692,144.48791181851706,257.15845840898277,356.10420290199636,,,259.12241172940014
23,LFPG,180.93449642783713,76.71812278346013,138.7898324819711,172.03617350260419,,,128.38756233505782,0.044513735101826865,0.0821670166894977,0.07577274640676925,0.047417070622376975,,,0.09902332517253241,17.364299573396483,-34.320958990799795,-22.656224959935777,44.27145108309671,,,8.701902726318691,233.39572077698315,124.7534871636569,181.1544814620505,223.32698810358235,,,181.35102876436306,76.0,76.0,78.0,66.0,,,5155.0,234.29540646734256,120.73653572092613,180.89546549776315,220.57229156730392,,,181.15970559685366
24,LFPO,196.88670043945314,102.73873901367188,135.33715518904322,205.74889766808715,,,147.44840061195663,0.0491277750325292,0.11029425621139252,0.07386317253034975,0.05677028926934046,,,0.11220532530669869,118.61682739257822,-57.87146243533576,-12.048243393132601,131.35416666666686,,,32.625077443387795,275.6815367176122,219.88757860129644,219.6828731093764,282.15954657855434,,,249.10874979305382,80.0,74.0,81.0,66.0,,,5059.0,250.42820633447468,213.5834711662676,220.71893241369065,251.63361990223245,,,246.98751349804638
25,LFRS,111.38408923539959,78.64985573508524,111.43357233415567,,,,87.36522465581828,0.04520483986242312,0.0844815615988732,0.06097356672714628,,,,0.12400862330853513,-4.573718461833931,-21.053167169744352,-58.56210594846478,,,,-22.463451217557896,134.4786976151585,101.97494611155423,133.39068234554694,,,,121.94340158921042,61.0,55.0,57.0,,,,2368.0,135.5162766308761,100.69765511464443,120.91338187779368,,,,119.88184041750254
26,LGAV,,119.47028782056725,195.87332095739984,219.65916612413199,184.8666362147177,253.4740767045453,190.59306307773937,,0.12539573923959862,0.1070048101739598,0.06036194703829968,0.033738098116318845,0.03505091464874608,0.0924214826727184,,-64.7975769042969,25.644925099498938,170.89128960503479,67.27559538810478,156.0117779356056,70.11089685342657,,218.2812487590089,293.5890119783744,336.6909955445439,240.32864161589708,319.06835132077305,277.57870148118184,,46.0,53.0,18.0,31.0,33.0,4279.0,,210.74507870925777,295.26561789824206,298.5086347280305,234.53410254016845,282.6406150417439,268.6098646158026
27,LHBP,297.61551411946624,55.362573532831114,127.06760742187494,137.19640365911997,174.36802455357142,215.39189453125,159.94459444788694,0.03597309379219895,0.057889802304465665,0.06917241287997078,0.0377359168502403,0.03205141766097839,0.02978473683537008,0.06117070173462496,-6.030390421549877,-17.45317004975822,-16.531484374999845,4.219711615114925,-1.1315569196428572,-5.35566406250051,6.864775396648851,355.77038288165835,64.91331751067045,156.65525885945493,179.04538658403155,231.24211804633475,274.2053122159246,218.2865282432732,48.0,42.0,50.0,49.0,49.0,50.0,6513.0,359.48360087184466,63.28088315908109,157.36212025291155,180.85058174582832,233.63567614883587,276.9363555224991,218.19530962595093
28,LIMC,160.03071629723834,80.28357884790991,107.49533861736919,136.2438534007353,,,118.46744642943793,0.03370832806916242,0.08511248160445783,0.05880003730327113,0.037579278243210994,,,0.10258563044423774,54.217921057412795,-43.69826596743105,-4.845725835755724,13.061196001838347,,,7.973775150185273,215.63924534749202,120.03664190557741,139.82942160688833,178.62314892825202,,,172.12694999339766,86.0,77.0,86.0,85.0,,,6248.0,209.9361331632672,112.53319891775423,140.56506149327015,179.2022311930586,,,171.95591979466548
29,LIPE,218.04065254407053,69.00936933876811,166.03687870966922,186.04724893690667,359.4257298519737,,164.28478335183465,0.04082611410148217,0.07347362465453317,0.09086445040038059,0.051260826367408543,0.0662312917471671,,0.10253424456506036,104.84158403445511,-23.260326440783555,78.20613791725864,72.94522905953339,332.025390625,,78.9643870067544,287.8914929638117,104.44117548447404,248.64084718025427,263.1753713395438,440.71922116560546,,252.14423194975564,78.0,69.0,77.0,79.0,19.0,,6288.0,269.85808705062965,102.56398491994811,237.56903311543934,254.47989445885352,297.75631962857244,,239.47956052739542
30,LIPZ,221.4002859933035,89.10980137416297,124.41582469451117,180.7938649247332,187.22740760216345,,146.83511638191126,0.0394132121882087,0.09391068183214811,0.06798270199437904,0.04978587316654817,0.03446634750545315,,0.0982595010722398,-19.313743954613333,-62.18511701311387,-31.414372370793135,-7.1050370379191135,42.3329139122596,,-10.986278951705609,295.15399144739024,146.5916569876551,170.03777124899304,300.245629798623,270.2253828990533,,229.61131792685023,84.0,70.0,78.0,82.0,52.0,,7096.0,296.290318161124,133.70683691621522,168.19231830252028,302.0087163788458,269.4927501683062,,229.36449760017723
31,LIRF,420.47906249999994,130.13980960845947,162.76641219701523,273.25972707648015,193.54052734375,,162.64688176735024,0.08309199752337236,0.1385146029085933,0.0888483861968968,0.07517194826163072,0.035361044230425784,,0.13537052737731328,-181.72031250000015,-66.06380748748782,16.1449178059897,185.1402780633226,170.0281982421875,,19.438030017912837,982.5126495621154,261.92282844506224,236.27599930621477,334.0288244424045,243.29212005796967,,299.0790211338926,25.0,64.0,78.0,19.0,8.0,,3751.0,985.4719864182204,255.45804021804307,237.24949274563437,285.64433274647257,186.03061955285565,,298.4864753794759
32,LIRN,236.4651389898255,98.81148054793077,121.4735331632653,202.24222506009608,172.64442510190221,,136.3634628359958,0.04117027536677469,0.10432003758023133,0.06635998036090524,0.055864459893604786,0.03153634728074299,,0.11164185685429064,79.71822765261602,-82.16008366765207,13.488844268176141,140.0054086538463,17.667140794836918,,26.174687364403926,295.6461382476938,119.27667347016025,162.65947150851412,249.0512845786831,215.52432665429947,,191.13718061071324,43.0,37.0,49.0,13.0,23.0,,2609.0,288.06500007852503,87.66031076068745,163.77904213420965,214.38387740093353,219.62653971791894,,189.37278862045616
33,LKPR,285.09969656808045,89.15115825946516,151.154191641972,218.67853655133922,233.34622628348214,249.5770568847654,193.32951740517336,0.03826892204955188,0.0957209252458265,0.08266082240557594,0.060234223468424324,0.04301155723109455,0.034503588165717865,0.09151371512590951,12.536010742187045,-15.923821082482002,44.53600232354537,30.023001534598393,1.6789202008928572,187.99685668945256,39.443011846261776,376.6150535166902,108.61474167334974,198.69861750873693,274.7196023651092,294.2392080217369,343.94652629421466,262.4020554626105,28.0,26.0,29.0,28.0,28.0,16.0,3400.0,383.313473647944,109.56887236865069,197.0707693598831,278.08508027087026,299.63366505946357,297.4673446723049,259.45883527103973
