,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,203.58997533228495,99.78280446499208,153.4901435852051,448.0838541666668,,,160.49058013745108,0.05952329895432465,0.1053968346310147,0.08355234582300448,0.12365996154435027,,,0.206976283072451,120.45185515168436,-9.990701023536426,57.87361831665052,447.2485677083335,,,81.27317172305722,338.24751080454087,158.8343507392336,253.7912497203192,630.4111997448282,,,303.6968508443584,77.0,79.0,80.0,15.0,,,4252.0,318.1465680313766,159.53274772562122,248.66355234706867,459.87614727837075,,,292.65438905151626
1,EDDB,236.82483702820602,156.9244131905692,169.69063836175042,195.60620786065928,287.2531649502841,,196.45778485442256,0.04021098863144369,0.16789918778554946,0.09248517200664427,0.053950018751842035,0.05288989408268513,,0.10981993428495186,74.92743950385523,-84.85005667550227,17.253982956345123,94.91062112050525,82.32129350142046,,42.31800470526511,335.0327900978417,360.5436380421339,276.47977002103585,301.2106789877829,404.7222799145844,,335.40097407315113,77.0,70.0,74.0,73.0,55.0,,7002.0,328.68816993628394,352.94727604446825,277.82444650228564,287.84517541844144,399.91395063450307,,332.74436485435956
2,EDDF,144.66995794122866,80.6398856423118,133.14740668402774,147.99285333806816,,,113.33388242772511,0.03760504555341154,0.0869468117549446,0.07293635022877959,0.040762678139147475,,,0.20922460362858927,-30.667361172762693,-28.280462091619366,-18.375528971354036,18.78999467329562,,,-9.094753400661578,185.20736365516368,104.10828016708808,169.80758899446658,190.75237441913902,,,159.156523727521,88.0,88.0,90.0,55.0,,,5615.0,183.69742378479978,100.76773981834731,169.7561419968178,191.57424073775869,,,158.91060961676243
3,EDDH,173.14627997819764,81.57416856553822,166.65030653211804,133.92826807776157,188.05047607421875,,125.86823700160468,0.03299181644506943,0.08716081443595955,0.0915051467974816,0.03689898172154546,0.0346597170723809,,0.17876972269589225,-22.483920784883786,-45.19220241970492,-79.3475233289929,-43.04061818677314,36.79638671875,,-40.03502483664759,210.4010736564606,106.17429493838061,267.75870251230435,184.22797015400283,217.83175347891162,,179.61103391442228,43.0,45.0,45.0,43.0,16.0,,3791.0,211.67206551324398,97.1618914463872,258.6213975129494,181.24965401911655,221.74267067485596,,175.11541706215314
4,EDDL,217.84820160308436,108.87092631572001,210.43733175177323,237.59294048108552,,,179.3176493172403,0.05344263656692411,0.11791923159167945,0.11508767138268644,0.06554650274169424,,,0.1273425347125454,89.43739219764618,-24.08230425860435,55.96542719790823,150.72893965871728,,,68.19290849595353,323.4134446977152,270.3521631722917,348.6300799060537,353.1767090929876,,,323.38092701067944,77.0,74.0,76.0,57.0,,,4952.0,312.8389761477633,271.11552336675805,346.3951707056193,322.2363471540216,,,316.14100329859866
5,EDDM,156.36596118444683,69.25077473033558,121.91047054597705,165.48823176203547,,,118.79646760274574,0.03659239248013449,0.0739882794700807,0.06665445307959504,0.045599276828438826,,,0.10858066474459388,47.473601944145166,2.45195354114875,51.0507840562142,66.07409008129237,,,42.12414526263328,203.69528073443783,87.85560067604857,165.5303846168928,211.27404017887403,,,167.2714969205505,87.0,88.0,87.0,74.0,,,6048.0,199.2342355392422,88.32465683718463,158.3743333549456,202.046012860427,,,161.89392722717852
6,EDDP,192.04491351401964,88.32690960427989,128.10990454445417,150.79882640569974,308.43076171875,,144.6265385021943,0.036106090450494725,0.09504626570151549,0.070150065631853,0.041471758005274015,0.056819202548781214,,0.0963864505629481,-1.3301098967252398,-12.577518186707469,6.791507344850464,28.32610138369293,199.1078125,,40.23506940578489,355.69029918573796,120.6275432828083,230.45169339695295,320.03995858361367,604.2400190657937,,334.538275090565,73.0,69.0,71.0,71.0,20.0,,5895.0,358.1493489144088,120.84895203827242,231.99113122343616,321.0529040074401,585.3133030960028,,332.138088943913
7,EGCC,224.82364383820564,161.76897834329043,179.21141860064338,201.4422607421876,,,176.07023323923465,0.057360841523707504,0.17445570820169007,0.09799229705821086,0.055527047569645493,,,0.1506766827486808,65.90986485635091,-99.6768080767464,12.849559110753743,149.48969726562515,,,35.88931872430144,277.2884588189093,271.2243653489709,210.5544366426996,252.68139596865208,,,233.870496330379,31.0,17.0,17.0,20.0,,,1271.0,273.79360549948876,260.00748005344957,216.63001487991073,209.00948928369252,,,231.19130368442472
8,EGKK,209.48752391581633,160.1053365071615,204.3372344970703,,,,183.14978630953325,0.06636258679051718,0.17153504718160947,0.11103352341027824,,,,0.1554695278325487,49.682607222576664,-92.25271097819017,-29.10799662272123,,,,-8.388642481086427,267.21569607699774,194.40155735776455,274.7385779502648,,,,255.29911137122494,49.0,24.0,24.0,,,,1324.0,265.27727128518274,174.79847622547086,279.06803424207203,,,,255.25767135630846
9,EGLL,218.52511160714292,112.03095160590277,249.62990208675987,,,,179.94766949415208,0.07151873554754923,0.11956237789717801,0.1359519714134749,,,,0.19843634971398444,27.181152343750156,-10.750840928819477,-56.4115889699834,,,,-0.7002804636954708,330.99027292109287,132.93640739022064,443.9718681904794,,,,312.92725745106253,35.0,18.0,19.0,,,,960.0,334.6882263170056,136.34237633178225,452.44068335062786,,,,313.08958387223953
10,EHAM,183.35337271341464,106.54990182271818,152.3861628153238,225.48620050603694,,,144.14817918026728,0.048276194237668046,0.11511601313269962,0.08329882591177629,0.06219254237340286,,,0.13894541272501454,31.095732898247036,-45.96252701922165,-3.5419186511670455,83.88532603870757,,,12.552309531945788,260.27908212623004,169.87256226820213,208.90080642541292,321.0247660662873,,,221.95498834866137,82.0,82.0,83.0,44.0,,,5033.0,260.0051516824728,164.54272396399716,210.14052047144713,313.45363182725515,,,221.62178415715815
