,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,273.0768023140822,108.13928958019578,166.30920694040697,215.8770068940663,393.36458613954744,,194.07601076637914,0.050775021135908746,0.11412152005169984,0.09054473517327623,0.05948358562333277,0.0724904773709953,,0.12459413230720887,182.6524055577531,-16.24137860033889,25.736816406250128,121.18983241489968,388.18075666756465,,98.48504585975614,396.1053442866216,164.86516143445422,263.28153186351364,337.0234224912644,544.57556218032,,331.29966470548004,79.0,83.0,86.0,84.0,29.0,,7140.0,353.7249739049183,165.06057067491832,263.55736493427906,316.36901195993204,388.7006307298186,,316.34503246850784
1,EDDB,279.3650776427468,155.3519640470806,171.8115860178501,195.5468428762336,239.39342322716345,298.8743596311474,216.6091662382376,0.03522880467891865,0.16614661357073401,0.09368892054572325,0.05394658708112393,0.044075915767334044,0.04135830439971716,0.0882688717364772,138.22771990740696,-92.72686767578129,-1.8991629685026654,113.65436754728631,93.2088153545673,178.07615586577813,79.28182771578996,406.72221179982466,349.4157645954061,277.5060874880387,301.2315262512098,347.9893788171784,405.7508292254486,348.6708762007844,81.0,76.0,79.0,76.0,78.0,61.0,9852.0,384.8960972889926,339.12585562435095,279.2727671333793,280.8215780651369,337.444185125223,367.61120099641465,339.5548183369057
2,EDDF,199.4395236545139,83.92059529622396,132.6131632486979,149.57596753991166,192.1111837037852,,135.86778856141225,0.03409124041535561,0.09062093836904918,0.07264813547586203,0.04115490529098166,0.03541727978159298,,0.1408049238309173,49.912451171874714,-29.01902601453998,-25.77556016710056,1.9382403829824952,35.98121836487676,,7.41510408645749,266.85741907977825,104.6608317691988,168.99072990352764,236.14556736950044,253.93525905071726,,202.9118429860986,90.0,90.0,90.0,92.0,71.0,,8637.0,263.61673405636003,101.12072689106134,167.94909127758174,237.43152728498785,253.16231968847603,,202.78805071884258
3,EDDH,188.6608784993488,75.93185489735707,153.08257568359372,129.43958875868051,147.4585848721591,248.6338975694441,132.25888837550235,0.025940364892987577,0.08090972060663627,0.08392874578307088,0.03566932608062093,0.027162159668928945,0.03440364490128611,0.11636975607288808,83.09579467773398,-25.971361525515352,-58.74018798828111,-14.276350911458222,24.030806107954547,228.24582248263835,7.380003694070811,248.05567016903296,100.7658722113268,253.81415935776548,173.21120570773712,185.33403183793956,313.18475938731837,187.05948948709548,48.0,47.0,50.0,45.0,44.0,18.0,5478.0,236.19689819402205,98.41402350164196,249.43040787572713,174.57245444436674,185.89405856779953,220.6665950052911,186.93091496862513
4,EDDL,274.97522745253144,116.61265706380209,204.0245789366883,212.03143780048077,257.48211473034274,,203.49806710736365,0.044892443284453784,0.1260294030993701,0.111535735210696,0.05848859578298956,0.04741712027666061,,0.09802370850055206,180.17311115506303,-30.160982259114625,40.2176783177761,102.93135266426296,209.00194524949598,,98.46175587991296,387.24325754327634,264.11196735673434,345.5974505863414,319.7790159790056,364.61557457969974,,337.373281561728,79.0,75.0,77.0,78.0,62.0,,7509.0,344.96570345740486,264.15107480598834,345.5002187445611,304.7198616515015,301.2076146550339,,322.70711553360366
5,EDDM,192.81438654119302,69.72309995501229,116.97360645640983,153.3989091352983,203.9249178258384,,138.08879011854734,0.03105256386348966,0.07459386101829071,0.06395048062762143,0.042270225738060455,0.03756772853940788,,0.07229307444733372,98.56535200639166,-0.9613469155987091,34.23050897771674,73.34502064098025,77.78145841272865,,63.10513411843438,240.09274631899478,87.01632701488755,160.2169916168494,200.59154902741156,248.9252925859195,,189.92593388645042,88.0,89.0,88.0,88.0,82.0,,8922.0,220.1824489873307,87.50400063289345,157.41454846277944,187.7715051576696,237.9162466319524,,179.14574931137352
6,EDDP,255.6938134765624,96.09690944126675,126.4095340304904,139.9824586633133,186.34221638424296,364.6568270596588,156.8137525295376,0.0357593747586719,0.10351381347779187,0.06925308924004416,0.03848299196962593,0.034321281308461696,0.050396553713469495,0.06857047011340393,73.94357584635361,-33.705603463309195,-15.219646877712563,42.574349181292966,59.34378438600352,341.39013671874926,49.496399136897416,405.50271851539424,125.52999285235535,227.6164710769209,305.6228618666361,339.5565919288029,590.5197734858771,322.9542235583625,75.0,70.0,72.0,73.0,71.0,22.0,8309.0,401.3888081632055,121.79335064594478,228.70082118375677,304.7373953636143,336.710273948446,493.1753432718397,319.15794866979263
7,EGCC,241.42195209703928,130.7294482421875,174.81680908203126,206.24946446572574,224.54591471354166,,185.20093259727824,0.04133932824779823,0.14074987888209184,0.09540855217785416,0.05677501022786163,0.04135910066115366,,0.3962897601887167,59.9427425986839,-35.26774414062507,48.96481933593757,25.44337512600824,105.47081705729167,,44.932408898562976,297.6194991620114,215.6602553134663,200.1328794719752,247.05875566913377,278.27349562763095,,237.737387570956,38.0,25.0,20.0,31.0,30.0,,2710.0,295.4337575116339,217.14418199930375,199.09166339876595,249.80729678856574,261.9134730469965,,233.49574355347488
8,EGKK,231.7166846264367,121.75890096028645,188.96478497540508,179.30575749903554,609.774365234375,,177.48787325356176,0.04547924784234443,0.13039715685931666,0.10258845407906513,0.04922509291306421,0.11202134135952044,,0.12492203272179328,83.56604705459763,-23.160593668619857,0.8226408781829883,26.132140359760925,609.774365234375,,43.72731792116641,315.58085051269694,154.42059850658094,257.18954841787723,225.11680636030246,654.2855466627143,,252.1110412081893,87.0,36.0,27.0,81.0,10.0,,4544.0,306.0797707645261,154.83955688626477,262.0874964799398,224.98804711118694,250.03288689188653,,248.31727413121007
9,EGLL,217.4299871271307,130.11332031249998,241.1109490645559,190.66498674665183,457.14501953125,,185.94336082272278,0.04529930777984079,0.13895178623511895,0.1314195100796258,0.0523107849590998,0.08413107036347256,,0.13324124032204432,103.69630570845169,55.612495117187464,-33.517109118009714,36.192080543154916,403.32676866319446,,57.848578288401605,277.4002219171853,149.17613215567445,416.9944896634401,237.9851893716316,497.8804927562257,,264.0841079345743,88.0,25.0,19.0,84.0,9.0,,3896.0,258.7640921496942,141.27679978712612,427.03494186430083,236.62982702035166,309.6192267774228,,257.70332554935254
