,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,248.4587186016613,90.66853277367282,157.6046994231468,206.9220958891369,361.48502323545256,,183.6531292067037,0.04644762411350629,0.09569873948431439,0.08590613545109682,0.05702718882646792,0.0666333550099725,,0.11727785260308814,96.50212000593349,-20.75651458372556,38.155117301053906,89.08986700148823,322.9832721578664,,78.94230886065154,371.5238822304202,145.0973916934815,259.5183237176351,334.92714517256826,529.7321893051595,,329.5296716102223,79.0,83.0,86.0,84.0,29.0,,7140.0,361.06447922369273,144.47807137276698,258.2037379264232,324.8000646620788,427.3106076077453,,319.95664424108764
1,EDDB,327.1700303819445,136.66229328356292,169.7729917115803,183.36120284231086,246.76014435596954,286.9997278432378,209.58540084189426,0.042808960091591394,0.14625157066981284,0.09260458376418866,0.050576709528226516,0.045423230378570253,0.039715709414680674,0.0822217630131113,-83.5689863040128,-90.35963761179076,-7.403355079361051,52.479392603824145,-11.716080103165064,15.330126152663382,7.502523228589542,401.70918521198655,332.1842190807422,268.35006641594055,285.5067339775156,344.49026951055,383.4976583896162,333.67203959557133,81.0,76.0,79.0,76.0,78.0,61.0,9852.0,395.36859408271835,321.7823972514775,269.96198521182333,282.5068883144045,346.519424351042,386.3711927359103,333.6046140920502
2,EDDF,207.979150390625,74.16114501953126,137.79003906249997,154.1864279042119,199.51384380501761,,132.56607994262276,0.036062543335604005,0.0799615415084504,0.07542027703731889,0.04241679103971881,0.03679139893497151,,0.11389554284302712,-45.49097764756973,-32.93615044487852,-30.33577202690959,-42.5161981997281,-44.9073847381162,,-21.69360444493847,265.7544676977887,97.46826383081233,173.0780797251226,230.77112309691103,294.16452660800536,,201.29129199925265,90.0,90.0,90.0,92.0,71.0,,8637.0,263.2988801330708,92.24871853352292,171.35345675139524,228.06368258118437,292.7857037211718,,200.1304800459577
3,EDDH,176.21290079752603,71.61345007064497,147.7909497070312,140.2370985243055,173.77515758167613,190.8120930989583,138.432897120094,0.024607884299827593,0.0766395711659107,0.08104929362130585,0.03865176765268789,0.03200449133131894,0.02639512116441037,0.10587525430220086,-43.74958292643269,-45.84059175531921,-57.5752954101561,-67.01229383680544,-79.01676802201705,48.75794813368,-56.68986245277117,216.65982331154333,94.60605977308299,246.66952086116552,186.11681411497824,209.5348638591929,238.51701967226106,189.75789022051356,48.0,47.0,50.0,45.0,44.0,18.0,5478.0,214.4422625013754,83.6530742938779,242.29122694265635,175.59618859090745,196.3085622846346,240.24920407634093,181.1085421459698
4,EDDL,228.5985586431962,113.79620157877604,198.24047455230317,197.69633601262018,222.4096915952621,,182.35135403631497,0.038015781707148456,0.12317942998014575,0.10841481947924848,0.05453660624762772,0.040951312475006794,,0.08842371031704807,71.77061906645544,-52.2097408040365,54.42652873249809,56.04424892327739,129.18868920110887,,57.6430739842793,318.3756135283311,259.6559819533889,333.45990035691153,297.7085560014442,326.4488456573071,,306.4773078866513,79.0,75.0,77.0,78.0,62.0,,7509.0,312.16261279981074,256.06568241797464,331.14555701909995,294.27823360049416,302.2458598514052,,301.0277132549872
5,EDDM,190.79744096235788,59.38102259260885,122.53926780007104,138.52553488991478,193.58297803925305,,128.68861526868463,0.031140622500064538,0.06347984213633337,0.06698522197040044,0.03816861659389377,0.03566050332234409,,0.06100206726964837,17.36056241122121,-6.513423619645408,44.69415560635665,37.13819469105127,21.33834913300305,,38.893601602104134,236.67802543058255,79.36284852700079,161.81150474033788,184.0199181691392,238.92000988869654,,179.45276569049403,88.0,89.0,88.0,88.0,82.0,,8922.0,237.39313812030477,79.5432484190843,156.40776378726318,181.26628220072155,239.42963528533676,,175.1970979525863
6,EDDP,283.24654296875025,72.30843200683594,113.43651750352645,135.31737277932356,187.6137832856514,323.9469105113632,153.39957264524847,0.04012064903991502,0.07791401067483969,0.062107094477168306,0.03720886460054871,0.034556288684188904,0.04476748971737101,0.06110970605647671,-66.77240885416722,-13.736517769949819,21.392484029134224,38.74881274079639,18.551242022447184,225.33172052556745,33.99499474289194,433.16145370568665,92.97887899910108,227.6906075260055,304.9895273849387,354.7796325736501,591.8568675393147,337.52910158047587,75.0,70.0,72.0,73.0,71.0,22.0,8309.0,430.8660633964171,92.62254720990882,228.27420364549653,304.61157682033013,356.8159825196982,560.1633980292684,335.8330067732291
7,EGCC,245.7524414062498,108.75237548828123,191.87177734375,209.17852980090726,228.52039388020833,,180.43987948520598,0.0417720642430101,0.11704050873344743,0.10478239006754357,0.05759957937820414,0.04208580695443945,,0.33693209457447865,66.92904502467074,-20.171799316406318,91.92884521484382,100.39745306199615,140.01027018229166,,79.81306175556571,293.91690415568013,185.14865503216325,234.07415076217362,269.26752589742955,276.2965824295713,,240.83985684525328,38.0,25.0,20.0,31.0,30.0,,2710.0,290.03684203351787,187.84169690570351,220.85907741434076,253.98070199454148,242.26714886615085,,227.27246177632125
8,EGKK,236.12242389547404,100.30220201280383,198.16335268373848,202.00521737557878,548.828759765625,,182.5006603774431,0.04664450838638563,0.10740704510665816,0.10755994077814929,0.05546839708019313,0.10081154430757047,,0.09645238081559629,72.80455841415224,-24.771762424045207,48.77589246961817,73.50398160204487,548.828759765625,,68.23997782040261,315.03759532079215,123.52597532250738,245.8987086302908,252.88221009589682,615.2488585771724,,259.6617234455822,87.0,36.0,27.0,81.0,10.0,,4544.0,308.28656063662265,122.73327051178923,245.6037580312268,243.47157756610306,293.1024667901795,,250.5620329661732
9,EGLL,197.67355277321556,87.85095947265626,241.52678479646383,190.20332263764885,361.4338107638889,,171.2399081434496,0.04096743566089279,0.094008272359589,0.1316180005799288,0.05217899116900654,0.06651468042616801,,0.09783597375826257,78.35800101540305,5.342478027343714,23.76200786389818,64.24341401599717,297.30479600694446,,62.804778488723954,251.65983746171437,105.1927102716757,362.1263299352121,232.0026487163412,411.87648568535843,,238.2262253569384,88.0,25.0,19.0,84.0,9.0,,3896.0,240.52044569089432,107.22330778386086,371.24760159927257,224.2694450992454,302.3385684100926,,229.8278746373888
