,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,217.8297087434051,111.44899257225326,163.58067703247073,458.4052408854167,,,169.48257616938898,0.06359986011344182,0.11835101104218786,0.08909524455701391,0.12653762123123335,,,0.18215605747921557,127.69910302100253,4.292530880698641,53.52702713012708,448.6315104166668,,,83.89091650215057,349.2753921850204,169.89734741607305,265.24742392444523,632.8512971889246,,,308.6777076414604,77.0,79.0,80.0,15.0,,,4252.0,327.22598777791416,170.92838297019458,261.42947499297736,462.0187058074962,,,297.09426078228205
1,EDDB,251.69836267248357,158.33747907366072,169.822437183277,209.29921105789816,307.3169611150568,,205.65839030323147,0.04221083933264805,0.1693804673055944,0.09253529929615634,0.05772867731862693,0.05658005866136603,,0.10722671759443247,85.72574447037309,-84.968838936942,12.773147170608212,93.55229458743591,100.23807262073863,,48.64813232486572,362.34353322578653,371.00170928728517,282.6408180686985,308.0526106177871,415.90767223284035,,345.24235853277344,77.0,70.0,74.0,73.0,55.0,,7002.0,354.365311545406,363.74819147447556,284.27938764466506,295.534818245474,407.3681025820019,,341.82207702344914
2,EDDF,146.10103537819597,81.76464288884944,132.11585828993054,152.38236860795448,,,117.22099046650362,0.03774092201157933,0.0881959074368956,0.07233355777689224,0.041964853414434886,,,0.20085143597467284,-37.96899968927548,-28.687305797230163,-21.193546549479034,12.01743607954562,,,-11.873502066527045,194.42020036860038,104.64012696845033,168.5253035683951,207.3241598565256,,,168.54485883591488,88.0,88.0,90.0,55.0,,,5615.0,191.7693209828281,101.20766916502691,168.12398573179644,208.8832239317183,,,168.141084719866
3,EDDH,170.90269576671508,78.35211724175348,158.07143554687497,140.83577852470927,214.33935546875,,124.54524914651078,0.03234158932361082,0.08345582504270331,0.08675843714668946,0.03881490416549133,0.03950921554752487,,0.15238976377960306,-22.197049872819832,-35.84181450737853,-76.16845703124986,-53.82843159520337,46.1368408203125,,-36.55967095120852,220.0091143908324,105.14143841942176,267.4798058393457,194.49537409500843,263.44663299485717,,185.6082154477191,43.0,45.0,45.0,43.0,16.0,,3791.0,221.47696643944622,99.96066138254403,259.3028928615394,189.11012610087835,267.88160639695167,,181.99598141730732
4,EDDL,226.22463156960222,116.49774871001372,211.02733571905839,231.88102641858555,,,183.20310010290396,0.055277566532283294,0.12620864959610836,0.1154138575680848,0.06396914723960453,,,0.1174190320819751,77.3338353540991,-28.077266796215202,40.064133493523975,136.64343904194095,,,63.89419018252126,333.30898415497893,276.9544122845425,344.85844950893045,344.8324386347012,,,326.0135497725354,77.0,74.0,76.0,57.0,,,4952.0,326.33945588960097,277.4082744716984,344.7992337731019,319.4181354484426,,,319.7233333192932
5,EDDM,144.28278499910198,71.41024780273438,122.47034673581179,152.11352868982263,,,114.33878224490151,0.03387928604788026,0.07640590588810077,0.06694688708641312,0.0419116692948703,,,0.0815955555985148,10.555627581717006,1.2709322842684232,37.93616985452598,34.41405260240723,,,31.340424597591092,194.33145854542374,88.51032418995146,166.9657590873313,200.70752794550648,,,163.21711395837542,87.0,88.0,87.0,74.0,,,6048.0,195.16947382375213,89.00837331796836,163.54153942201114,199.08488146548285,,,160.19315561290173
6,EDDP,181.66109267979448,91.71988578464675,129.22690034248456,152.51535678917244,306.8993774414063,,146.10715446804315,0.03419551699388031,0.09877763227894146,0.07077143242680942,0.04194247560349994,0.05654984497457012,,0.07889007526840121,-18.29989833047952,-22.853929602581562,-2.4225687376209266,7.705036861795922,159.35855712890626,,26.094092916132993,338.74229744622477,126.48756793657424,232.68264054697892,319.2631530462211,600.933089561636,,333.55302801543985,73.0,69.0,71.0,71.0,20.0,,5895.0,340.5884698947457,125.31720865302597,234.32606429187672,321.4418659793065,594.4705104455174,,332.55898981852414
7,EGCC,207.7440146169355,162.54278564453125,157.52208036534927,189.18013916015633,,,165.05782945675705,0.0534531109101986,0.17532853601781437,0.08602638893441707,0.052046565478023256,,,0.12109875708916458,-7.081117691532155,-75.83910773782176,-26.777724322150668,79.62435302734391,,,8.727506258842311,263.7166904008155,255.47150432243976,200.43619016758765,245.24821621288552,,,220.13060609389493,31.0,17.0,17.0,20.0,,,1271.0,267.9792820110133,251.46322139021694,204.75282915527268,237.988610874287,,,220.0441089802141
8,EGKK,200.5678860411352,146.0071919759115,219.10858662923178,,,,175.59090034569138,0.06518217876882233,0.15653962802954913,0.11908845829158397,,,,0.13781932848630635,-21.803436902104462,-75.2879028320313,-90.94769795735665,,,,-45.37517619403102,259.8120950802833,178.0907408863707,285.00814898633064,,,,244.2942665280977,49.0,24.0,24.0,,,,1324.0,261.57853384045444,164.8653005174969,275.91711652445673,,,,240.13399419303354
9,EGLL,197.9457101004465,133.01456366644965,251.13732267680916,,,,178.93184088915586,0.0658079407643192,0.14201660038607822,0.13681511064376523,,,,0.1429999386058577,-14.936167689731986,20.051930745442675,-100.54866108141432,,,,-15.724704762796506,284.1019555902044,152.84802898622596,401.3483318336449,,,,287.39908951544896,35.0,18.0,19.0,,,,960.0,287.85101958929533,155.92002487896582,399.1963144304444,,,,287.1181673542698
10,EHAM,187.36239698456558,113.79287384777534,150.98302046074923,226.7398348721591,,,143.82710046479698,0.04981224189093476,0.12293281221996362,0.08257776409856923,0.06253056035214556,,,0.11987037115623136,29.955706340510755,-49.40494704828034,-12.377372282097015,92.68359375000018,,,13.464344247278595,259.8865508599038,178.49995571391221,204.59501720161515,320.2289537149055,,,220.2892117810325,82.0,82.0,83.0,44.0,,,5033.0,259.74301991574106,172.58219020871022,205.46174953156668,310.06671100898006,,,219.89919504477962
11,EIDW,180.4716397372159,124.33043823242187,134.24249945746524,192.3076416015625,,,183.20055996011567,0.04811786398484116,0.13454286454687944,0.07355846642348289,0.05224051085447994,,,0.13008025362863904,-28.9884987571022,47.08861694335932,-88.59186469184016,-15.644132486979014,,,-45.90600392589092,237.55313382078316,166.2428745889376,182.59169704594166,236.71062456857712,,,271.78491548623106,55.0,10.0,9.0,30.0,,,894.0,237.95088615688158,168.05870504067855,169.34465007229215,240.23088226862316,,,268.02991824181987
12,EKCH,229.45803285256412,83.70396423339844,99.16858552631577,105.71029897836543,118.63753255208333,,109.58646317741515,0.035384105548703346,0.09056095862724778,0.0540242208817999,0.029107280573222986,0.021840666769463505,,0.062011595702929315,-18.35419170673126,-39.51385879516605,-53.21232524671041,-9.377929687499826,-0.9209255642361112,,-13.910369150038576,354.93727751161043,107.27303010002191,127.54744237485089,131.5999937564503,166.94966630289989,,165.07776415955684,39.0,32.0,38.0,39.0,36.0,,3898.0,359.0960943796651,101.32621454881837,117.4732106242606,132.98138956334105,169.3152889131627,,164.51174099958678
13,EPWA,340.3823965567131,85.56600160951969,113.68622052228002,190.61551339285705,216.9267578125,267.91059570312507,180.52211266682653,0.0449983304941846,0.09213227210130456,0.062087596943790686,0.052540405270530124,0.03996060085587046,0.03707275911571141,0.13253222031333184,-179.9689489293986,-29.31398518880212,26.28838885272002,-74.79398018973198,-78.23025948660714,-111.74663085937554,-50.92820301810863,400.45000899225903,110.29940872950871,160.05381637056456,247.53950333974493,269.2650864100353,323.08412206815655,244.90432527704954,27.0,27.0,27.0,28.0,28.0,20.0,3451.0,364.5454204224231,108.35829911022888,160.88767081777485,240.29970906332753,262.3782942751379,311.0187681325085,239.58522460640805
14,LBSF,274.4334106445312,110.63806915283205,125.4060704848345,178.67068301930144,193.25090680803572,268.67744954427076,169.4292862746838,0.03633027544837479,0.1185173733249251,0.0684288383638868,0.049268705774196384,0.03555426927413623,0.037157677570370404,0.06085635887571427,-127.1695556640629,-44.6356887817383,1.8695786420037968,50.496280445772136,-63.563685825892854,52.94348144531212,-2.4588661079068506,380.8084827908816,165.4741100973254,166.13745269906985,262.1516840812853,244.2040957185255,321.1602284869964,234.1549893915805,16.0,16.0,17.0,17.0,21.0,12.0,2244.0,370.7189478875849,164.5659710453947,171.23972299557673,265.1593541123586,241.60931919200974,330.85159562603616,234.1942668732999
15,LFLL,93.52401882264674,67.80477057562933,,,,,66.17261997416375,0.07187122937875473,0.07287950460837828,,,,,0.2176756609251941,5.8559473549447585,-11.333796183268268,,,,,7.124929643690325,134.0473368844477,84.03263028832397,,,,,117.15389532957727,82.0,72.0,,,,,1671.0,134.7434922647553,83.84912819572652,,,,,116.97204261888885
16,LFML,117.21434307098389,83.47039609966856,,,,,84.66883676465702,0.14086639952243532,0.08956614033921423,,,,,0.5377972406272921,-41.49964046478273,19.139718720407146,,,,,-30.680553864268,343.055626149182,94.64020236823914,,,,,332.412859781066,64.0,33.0,,,,,1003.0,343.22828532407215,94.12167812248467,,,,,331.1591026964203
17,LFMN,177.78521128169825,108.36404987917108,244.61238025483635,,,,133.98824112745305,0.11194590710157877,0.11475407487066477,0.13457796575574707,,,,0.210835549409771,-0.7596885806223621,-47.23277463751328,130.75343540736625,,,,27.913649422817176,295.9565485400972,160.37755520130713,344.704656978355,,,,257.233028482921,61.0,59.0,21.0,,,,1445.0,298.411678483452,154.58015929312074,326.8196469848836,,,,255.8025465390165
18,LFPG,156.53330210092906,84.62620063677225,136.93026733398435,,,,97.98915240671371,0.07477499062936267,0.0907667291784997,0.07470973085746573,,,,0.13489237130748,-5.958265149915436,-48.934394731913564,9.67669474283866,,,,0.1292273772457893,202.33643908465785,127.25443429190953,185.70550941528563,,,,150.0590699243581,74.0,73.0,60.0,,,,2608.0,203.6292457761599,118.28258725985813,187.01825653484622,,,,150.08779153927594
19,LFPO,172.36318813226163,92.85593725929797,133.60433421415442,,,,101.39213261324481,0.08761619630154113,0.10043626126117816,0.07275987888856635,,,,0.14311733178592798,17.428624079777766,-35.560031944597306,46.097450405943746,,,,-1.1276560525266481,281.72844000816457,135.3201188467185,175.60182184467732,,,,196.06628767888338,78.0,71.0,51.0,,,,2375.0,283.00883937884856,131.4935265754845,171.12932361014632,,,,196.10433432012186
20,LFRS,55.99092951360738,,,,,,47.75816012550229,0.10150833665780061,,,,,,0.24652767524325547,-2.828078215976955,,,,,,-8.067719632618767,87.58373237612113,,,,,,100.91203454252984,53.0,,,,,,489.0,88.37576503623008,,,,,,100.69202813846672
21,LGAV,,142.52342640269887,205.66566819411065,140.7781738281251,116.85806039663454,,127.40708329236784,,0.1508610942855038,0.1118225736971718,0.0387743407067982,0.021384324691908888,,0.11365935463543907,,-57.46435546875003,66.789766751803,78.45029296875009,-7.943472055288532,,10.168738522058998,,240.0679708250689,264.94330550803096,170.26804710847034,141.02846242109493,,192.10953160292772,,33.0,13.0,10.0,13.0,,1601.0,,236.70299093739686,266.85562083891926,159.29274029370353,146.55404863034474,,191.90015778425575
