,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,224.30142489346596,109.27839158456537,158.68363761901855,533.9436686197918,,,174.0310981456306,0.06404870803449475,0.11592380213554115,0.08644490752154418,0.14733492402671025,,,0.22950065378968362,165.81921228185885,24.70976180064524,70.91531181335462,533.9436686197918,,,106.9562694921964,368.06770202787084,173.46377877187487,268.6861121981401,696.9165119653159,,,322.9187972691034,77.0,79.0,80.0,15.0,,,4252.0,330.7545660026401,172.79191974179534,260.79381338970745,463.6001780214363,,,304.7273287471599
1,EDDB,277.4381151075485,156.62841578892298,178.68895907015414,220.1981569055009,318.77633611505684,,217.57842846844272,0.04634137255395628,0.16776533817602515,0.0974552252268129,0.06075662852122783,0.05871642654566173,,0.12031903404098532,177.15804459212632,-55.762648664202054,42.2447221085833,152.4459161627784,183.10978781960227,,98.80123307077726,384.97603537660837,359.3324497715776,286.1976156489623,339.6673133983471,439.7094067078455,,364.38127661362273,77.0,70.0,74.0,73.0,55.0,,7002.0,344.0329941126192,357.5424076012123,284.9948314990815,305.63665860216133,403.45347699491384,,350.75575793916056
2,EDDF,181.11471002752134,83.41460973566227,121.74799397786458,211.8280317826706,,,131.81392382583448,0.04584567963682517,0.0900550761951164,0.06669915500117363,0.05835190094235671,,,0.22308483365494058,129.80091719193902,30.339967901056415,48.69975992838555,186.30843838778426,,,79.53744157612702,237.3496052676026,105.5277190748898,174.26295881552633,268.9433195740663,,,190.66344766414858,88.0,88.0,90.0,55.0,,,5615.0,199.85100822431656,101.65139629055156,168.25716332231917,195.7455889052352,,,173.29654970296684
3,EDDH,173.49211936773253,92.68331163194445,175.83773871527777,151.78058571039244,213.27206420898438,,137.4923616811708,0.033135085993511976,0.09896182787868105,0.09650648853359581,0.04182466481302847,0.03929461236447374,,0.17295630780479881,51.43983920784877,-24.631431749132002,-78.9792588975693,-15.894798101380697,156.19204711914062,,-11.013691380529544,216.91069176266973,119.60122081020242,280.3932538018452,198.8948853827271,257.33083577844474,,191.0905104328546,43.0,45.0,45.0,43.0,16.0,,3791.0,213.21687032103716,118.35986214214559,272.08034428651234,200.60508619241327,211.21414967541685,,190.79802014835997
4,EDDL,239.64462636972397,108.04203157167177,214.6344078465512,255.8302687260143,,,192.00920676301882,0.05755648722069815,0.11705671143138498,0.11740938757403804,0.07057514864703494,,,0.13792855120399608,134.00408380681824,-3.507613104742968,59.65629698100855,185.68912974575127,,,92.50452374336233,363.8809384343368,268.3969032816215,350.28900745030415,374.7299387649739,,,338.54589678617117,77.0,74.0,76.0,57.0,,,4952.0,340.52634764896766,270.20590781868896,347.46524311166246,328.38071936834444,,,325.6956531683297
5,EDDM,237.58199757543105,82.10312652587889,142.4932243961028,242.3185144372889,,,161.01367600672148,0.054606229681383386,0.08802506407145866,0.07794693060955601,0.06675529882885237,,,0.14639835764139394,173.1272337464081,58.51522480357773,100.87255157821491,179.1311464051944,,,117.67836872460673,297.63619181379636,103.80343774243198,193.1713939949766,297.56396737613767,,,225.15220299732877,87.0,88.0,87.0,74.0,,,6048.0,243.50734037711229,86.23002847192262,165.69700121696874,239.22734309764923,,,191.96720867155872
6,EDDP,252.17070947934494,98.38935210739356,132.89200129979093,196.3466831261004,446.4487060546875,,181.48951307343566,0.04710959093385257,0.10605660559348343,0.0727870951329198,0.05401922912821717,0.08223151107144185,,0.1241524218048946,160.0129244033604,29.71422897560005,55.24949538539844,147.45952423525543,415.7126708984375,,126.90010694136456,397.41663488557816,146.1824579507538,244.04596561249474,367.15365036564594,677.5098417840561,,365.3266297589732,73.0,69.0,71.0,71.0,20.0,,5895.0,366.29747960464084,144.17921430793098,239.40165854506523,338.6334282277247,548.876902093092,,342.6073861267625
7,EGCC,193.48693453881037,184.5263276941636,205.67466107536765,172.52475585937503,,,182.79230732630782,0.05135907163675717,0.199072450833093,0.11257793258976902,0.047496995466083415,,,0.15724174943365232,-54.07159620715716,-48.50798124425558,5.146556181066243,51.03010253906266,,,5.550273848836842,243.37454981214916,280.2122270538659,245.51605848255065,227.44534912390804,,,237.93824832001778,31.0,17.0,17.0,20.0,,,1271.0,241.21432056549276,284.47536746214973,253.01655267600577,227.40484527761487,,,237.96713775341414
8,EGKK,249.4870057397959,170.9174779256185,252.73679097493482,,,,200.32720144745807,0.08273332996410653,0.18295231202795384,0.13736445676797993,,,,0.1876409045708005,-72.2790577168366,-74.6837997436524,-112.36929829915353,,,,-60.37191757874901,301.84649759380335,202.153102790592,325.077388252111,,,,268.31778549864146,49.0,24.0,24.0,,,,1324.0,296.10194086156775,191.89183644519622,311.59915580491145,,,,261.53647588312606
9,EGLL,241.64778878348216,145.03229437934027,297.26091565583874,,,,201.91670712657893,0.0833244066580262,0.15516993155965608,0.16173345206127743,,,,0.23032466793571593,-80.8192034040177,-10.362670898437532,-177.40887772409525,,,,-64.59285763076811,366.14489970356254,179.41301061159152,507.6564811867789,,,,350.39694538699047,35.0,18.0,19.0,,,,960.0,362.32752643002095,184.3062639314348,488.682052220094,,,,344.57141291610196
