,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,229.50762067522325,111.63854729374752,175.52814407348635,441.28945312500014,,,176.61268505099406,0.06721341918435386,0.11827009246061532,0.09558425517306442,0.12180884406418914,,,0.1884764862198256,119.6325445794441,24.32652475864069,83.84682388305677,388.9045247395835,,,96.08093133488866,354.7433691433852,168.4536136150772,271.30617882181906,613.8671551723718,,,311.6527380992688,77.0,79.0,80.0,15.0,,,4252.0,336.15238245720633,167.7529613219625,259.65264585180637,491.62938440509754,,,296.5072685752436
1,EDDB,246.5990037794237,148.53063049316407,171.86022454339104,199.91171139233734,281.28148082386366,,199.2674303223613,0.04252753189396814,0.15896167048032384,0.09362087666792179,0.055117394262052505,0.051773036146648924,,0.10860217929306946,-42.61986670556036,-71.10402701241634,30.76284212679487,57.750083609803205,9.78389559659091,,17.867190229444994,348.4123156153421,373.2136333428154,294.4611294568823,318.89040574940196,412.39744288827586,,349.95299765820175,77.0,70.0,74.0,73.0,55.0,,7002.0,348.06326982416243,369.0230804982613,294.84879613703623,315.78802152340006,416.0812764669971,,349.5215462395383
2,EDDF,145.3767062100497,81.35725194757634,125.91807183159722,173.85826970880683,,,117.89239519893964,0.036905693242215924,0.08776306582065173,0.06899715530333039,0.04790465414378196,,,0.19192839137121287,48.99234563654129,11.600932034579143,48.825916883680684,116.21735174005698,,,52.13268547046435,198.83600674590633,103.51687327801562,173.2732274929883,234.00361136481155,,,173.82675566078498,88.0,88.0,90.0,55.0,,,5615.0,193.81009406937105,103.45426030062211,167.18313004806362,204.97592228730048,,,165.83974851504502
3,EDDH,167.16773028706396,71.02950710720486,137.48902994791663,116.71525254360456,181.0748291015625,,108.24150755429953,0.03173465773469255,0.07566637379658658,0.07553529289935343,0.03218254329762258,0.033401768945636706,,0.154358736995391,-53.898744095203554,-26.519315592447974,-47.730327690972075,-43.50953851744175,15.443115234375,,-33.39427847505019,210.79298422114422,96.37321472475521,246.89952985511462,165.87909942674446,238.8018565536609,,167.56411664528198,43.0,45.0,45.0,43.0,16.0,,3791.0,206.19743924891725,93.69965421010906,244.97929943872566,161.96562057593184,246.1172336056307,,164.22444849334786
4,EDDL,225.91572075385548,104.3927989650417,208.13863011410365,235.59537332099785,,,176.2903429485507,0.05578724899072539,0.11321269204886882,0.11384409721247986,0.06498410544012323,,,0.1268861755796298,42.72501204849844,-11.027416538547866,61.42914139597052,95.17343835663394,,,57.417438178727245,330.8166793326139,269.8241166783572,354.99818640021147,357.16146455951133,,,325.8984159598406,77.0,74.0,76.0,57.0,,,4952.0,330.1972526025903,271.4389686922713,351.9661563852274,347.30751911432003,,,320.8329808903942
5,EDDM,193.34386224856323,72.65946613658558,146.31080644980247,210.86040764885985,,,145.2757419973474,0.04452939767026208,0.07783512803897107,0.07999668232902948,0.05806491616928686,,,0.0906464371284124,83.89806146731327,28.11735187877304,97.36088334006836,124.34149664801534,,,87.38324037096692,259.7898224259712,90.95134773122953,193.3637282596346,269.0924409455268,,,208.65927135648144,87.0,88.0,87.0,74.0,,,6048.0,247.29495709691463,86.9917073347179,168.03252428624148,240.27082650073137,,,189.49616916065906
6,EDDP,197.33552279537668,88.87099313044894,122.72130917831204,143.85013720015397,357.18004150390624,,148.52917116830872,0.03626742432393182,0.09570612883899601,0.06718576121155681,0.039556431388916055,0.06581015919800458,,0.07354000147179425,-3.8070018193493835,-12.880523018215055,10.785947987731186,31.40217697788307,188.89693603515624,,42.405270337209195,411.48629813320997,126.88055092291211,223.81732296973706,328.6453635899183,690.2094754282359,,372.589954971118,73.0,69.0,71.0,71.0,20.0,,5895.0,414.3162550291945,127.14980030056753,225.1484549771402,329.47011914380147,681.1036458166151,,370.200372532232
7,EGCC,275.9129205519153,195.83362534466912,232.39791331571692,276.77912597656257,,,231.15188279249108,0.07117249613467955,0.2111689652903827,0.12719939816225007,0.07624461504080242,,,0.20547771838255824,14.524610950100909,-20.729456284466977,109.27880141314346,164.41660156250015,,,81.68355771254998,323.43083184961233,274.8016782384794,273.83088553990683,342.52212372622677,,,289.9912531847424,31.0,17.0,17.0,20.0,,,1271.0,328.44546471208344,282.452018500731,258.80801963445043,308.28658296182226,,,278.35891596524806
8,EGKK,209.26047313456633,149.8879801432292,204.6373036702474,,,,180.41618625851197,0.06678069797108246,0.16022736444404595,0.11121837946731195,,,,0.15559406889489935,45.80669044961748,-52.750584920247455,-1.514460245768106,,,,8.411524658116742,260.7823333511327,168.96801645254095,270.3474658546836,,,,248.35613970502183,49.0,24.0,24.0,,,,1324.0,259.3882808811755,163.9752888312178,276.15772186112576,,,,248.30744411140864
9,EGLL,262.43700474330365,154.38328721788196,291.30247096011516,,,,213.4924411257108,0.08600927359827061,0.1650858633359239,0.15856830998282628,,,,0.23302588733733773,44.59904436383944,25.156311035156218,-39.146747789884714,,,,14.361352256933904,369.3758368975205,186.0376426193677,497.47688584822527,,,,353.96218010322633,35.0,18.0,19.0,,,,960.0,372.026651258907,189.6729322306494,509.5240097779573,,,,353.8550651569307
