,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,185.07979276582793,99.61672510074663,161.160546875,393.69277343750014,,,157.42073926842673,0.053668050390557276,0.1052693129894887,0.08777821325772657,0.10869417751915127,,,0.1935516229754121,86.43578150365269,-3.154351343082509,33.90207824707044,353.2469075520835,,,58.56959806437332,318.5934771344928,157.68240756547527,255.2312228242751,584.8057880438192,,,295.0214992165587,77.0,79.0,80.0,15.0,,,4252.0,308.65499326309754,158.65821781009427,254.56565380291508,482.42071743275176,,,289.18325480176395
1,EDDB,266.06571821732945,165.27746800013952,189.21897022144213,205.5134110124144,305.5689763849432,,215.95576485181937,0.04515504536667278,0.17706891014845713,0.10313377889105782,0.056693752000440044,0.05625545859866725,,0.1322781277378738,90.49344625101432,-115.37885175432483,-12.073506948110115,60.93307202482889,114.2257235440341,,26.258422998795016,363.45426939760733,385.81325035753804,297.2397824830843,313.6069839325475,422.81387263600215,,357.55431471042766,77.0,70.0,74.0,73.0,55.0,,7002.0,354.31671722393287,370.8152188446801,299.02176549088404,309.7594178609669,410.8442757971697,,356.6142813718086
2,EDDF,146.13808649236503,78.55645405162464,140.29927435980903,163.62670010653414,,,120.91366308497088,0.037105556734717056,0.08470911927920874,0.07681976746608622,0.045074070430818076,,,0.18747279279237475,51.74343317205265,-7.005348205566454,9.91363254123277,93.64079811789789,,,23.03483337688856,197.7616826902429,99.70332389410119,182.60022397086442,213.32870060929864,,,170.83989808281248,88.0,88.0,90.0,55.0,,,5615.0,191.96630521017525,100.02687308461603,183.35238227247447,193.4448647994133,,,169.29492476406898
3,EDDH,174.79329805595933,87.56116807725697,195.85453559027775,166.86757926053775,217.85397338867188,,145.39528884978256,0.03341080191087107,0.0936460484655323,0.10742379113207624,0.0459722363505602,0.0401549217070664,,0.19079161049379725,-26.139523528343087,-51.8609971788195,-110.90462239583319,-93.25526321765977,24.580718994140625,,-68.23153997505281,221.81026783377538,115.59756504789603,298.13972374969705,208.67268076692076,255.475973913354,,201.12130906878886,43.0,45.0,45.0,43.0,16.0,,3791.0,222.8714326011375,104.47874193824684,279.87154855540626,188.88475788466914,262.6303084834048,,189.21860982505666
4,EDDL,198.87442928165584,113.00956973514042,211.932472630551,222.91520182291663,,,178.25727009205133,0.049115404229326726,0.12254569107327334,0.11589978905872952,0.061501375429502035,,,0.14255156533665292,36.77130047686695,-51.20673720901081,14.941431949013284,70.53508771929842,,,15.744244307520379,305.53404303069806,266.09679774534885,348.3258230165946,340.74228960519036,,,318.9744605292043,77.0,74.0,76.0,57.0,,,4952.0,305.30220283434306,262.9057285017728,350.31757167754853,336.3251039749774,,,318.6178361434799
5,EDDM,169.46882857399422,65.35707924582742,133.53935434626436,171.8692989864865,,,125.36694645256337,0.03930874827996813,0.06997751946329488,0.07300050392148973,0.04735332343638567,,,0.10402137295082416,80.81801140445407,9.454907503994987,62.14824667744264,84.86894267314203,,,56.19038648238639,240.14475737029463,83.45300684229606,184.32026884353428,233.63751430977652,,,187.72877438054016,87.0,88.0,87.0,74.0,,,6048.0,227.4479740328275,83.39083983225366,174.53278008589925,219.16396404797317,,,179.13692832603357
6,EDDP,194.77352445419515,90.56818290378736,136.1335337464238,136.40850228323055,388.2239135742187,,149.02185226896236,0.03571655222031476,0.09756747684920479,0.07449406269052446,0.03750335916479316,0.07149774335183383,,0.08052603394682238,106.05687473244856,-16.677392489668293,-6.245066468144694,44.894053284551205,346.0378784179687,,54.801158317354854,416.24998163796744,127.37989382439542,238.90434397608334,318.37389996414595,696.2929867967123,,371.5294055972491,73.0,69.0,71.0,71.0,20.0,,5895.0,405.2976789605518,127.20858468543878,240.52253279644043,317.4361343015662,619.91655649202,,367.4967240226933
7,EGCC,295.11740013860884,179.93573357077207,219.19497501148896,288.7549072265626,,,222.60551488052477,0.0734272313621801,0.19392822160520143,0.11992227838157603,0.07958138044643469,,,0.2184311568967285,203.28042307207673,-60.272870232077274,50.74002613740816,271.47209472656266,,,95.2055023397451,371.318967715947,286.69479377059906,250.6109819685972,357.31122546805256,,,289.273319984081,31.0,17.0,17.0,20.0,,,1271.0,315.8691821424124,288.9137479546891,252.97385469207518,238.35889267249192,,,273.26492259447605
8,EGKK,230.72237224968111,145.66470336914065,222.8941904703776,,,,179.3927849568089,0.07328719563623733,0.15596019180028628,0.12107938026370012,,,,0.13334541616757606,35.99485311702819,-43.56752014160162,-48.701410929361856,,,,-5.209193114697701,296.4544354566196,168.09376404393709,290.1609447642022,,,,252.28111897421374,49.0,24.0,24.0,,,,1324.0,297.3105327942186,165.8413637997467,292.19685997767147,,,,252.3226385799018
9,EGLL,257.0746930803572,137.31508043077258,283.83473607113484,,,,202.05525889794032,0.08392022172126311,0.1468444444243474,0.15437535699414018,,,,0.21092753542919424,46.08381696428587,30.996734619140593,-58.355076840049186,,,,18.660509431362208,357.40747322967974,164.6889262191953,474.6067827091416,,,,337.358618163549,35.0,18.0,19.0,,,,960.0,359.5983638116659,166.43486758546973,483.9122613776737,,,,337.0177088998411
