,dataset,MAE 0,MAE 15,MAE 30,MAE 60,MAE 90,MAE 120,MAE all,MAPE 0,MAPE 15,MAPE 30,MAPE 60,MAPE 90,MAPE 120,MAPE all,Mean 0,Mean 15,Mean 30,Mean 60,Mean 90,Mean 120,Mean all,RMSE 0,RMSE 15,RMSE 30,RMSE 60,RMSE 90,RMSE 120,RMSE all,Sample 0,Sample 15,Sample 30,Sample 60,Sample 90,Sample 120,Sample all,StDev 0,StDev 15,StDev 30,StDev 60,StDev 90,StDev 120,StDev all
0,EBBR,199.32540616122165,105.85799321041831,160.75080947875978,408.0308756510418,,,162.4060140706858,0.05854073632426279,0.11190687096218511,0.08757903760447414,0.11266864447556549,,,0.1805682989123297,104.24244273792624,8.631534238404832,59.65116653442396,400.5008626302085,,,79.86964404896986,328.4216119955909,166.33788091725495,259.49750205655306,600.8424324438673,,,302.36722760225683,77.0,79.0,80.0,15.0,,,4252.0,313.48127333373805,167.17521870143239,254.14177624922687,463.61624485149594,,,291.6621103042486
1,EDDB,232.40988674411523,147.4243412562779,167.74972616659628,190.11981619220896,278.93575550426135,,193.4661801007093,0.03930285071016807,0.1576142392258295,0.09145898885241563,0.052450187420765175,0.05135941670350231,,0.1047437556753222,62.10336660409873,-68.70145917619982,44.340767525337945,95.76212676583917,63.31842595880682,,49.13774458233613,326.64550057532847,355.1326397153294,283.9667924678435,306.33581316654863,395.95774351496675,,338.8386038422041,77.0,70.0,74.0,73.0,55.0,,7002.0,322.7903635222719,350.9397547471382,282.39816036646874,292.99698808453024,394.4647601285303,,335.2806823297982
2,EDDF,127.17323441938916,79.1352969082919,126.8309611002604,139.1479802911932,,,108.6559681176927,0.032912050506277706,0.08540444136045734,0.06947519855071,0.038338282487541245,,,0.2058239906174741,-2.871859463778316,-9.127062710848769,3.4300008138022147,40.46967773437517,,,7.003302428983581,170.79500698545013,99.5702804939179,164.92155648475722,184.38032575797885,,,155.01583188854974,88.0,88.0,90.0,55.0,,,5615.0,171.74949819818153,99.71928983568812,165.80962211339758,181.54210990373463,,,154.87134502195454
3,EDDH,165.849972747093,78.58875325520835,157.52281901041664,139.4135798964389,172.47360229492188,,123.1481960850572,0.03186440155325935,0.08350171413247977,0.08649974996641378,0.03842238288629649,0.031780438461130496,,0.1632771748931391,-54.55802598110471,-15.895613606770892,-57.43397352430541,-58.85350994731093,14.871917724609375,,-37.056875172028604,209.34593042646725,103.14573112272097,268.38638915994403,188.42994366539256,214.40350217087695,,179.5190098679134,43.0,45.0,45.0,43.0,16.0,,3791.0,204.50364047570213,103.06515031993554,265.13147106322134,181.1215486098497,220.90163797510647,,175.6758485602556
4,EDDL,215.90300007609574,106.47881956358214,205.16754551937711,230.14657432154604,,,177.6115378068101,0.05272350994007473,0.11529430394755416,0.11217758817485607,0.06349899234014414,,,0.12394213204711746,70.53379603794649,-2.0169772586307424,69.02890255576699,124.24169493558131,,,73.01371120115047,323.02434801679505,264.9669182327555,346.2900167063653,345.4496799915937,,,321.3379442350321,77.0,74.0,76.0,57.0,,,4952.0,317.2967211494747,266.76785781919136,341.59499913329194,325.1996779675808,,,312.9646172220897
5,EDDM,157.1818567034842,66.1301505348899,125.66230861619974,162.0736644847973,,,119.66462275285333,0.03661933925243126,0.07081354814174283,0.06872771218320978,0.04464915310966826,,,0.0995988900487678,52.7516304103808,22.572554154829504,70.0334500718392,66.5365617081927,,,54.05880628070904,207.81922966995606,84.00307265906476,174.810002766379,214.25384329917858,,,174.51172235106102,87.0,88.0,87.0,74.0,,,6048.0,202.17798113326214,81.37720100157706,161.09672111429612,205.0506804715435,,,165.94137428841466
6,EDDP,193.6857776380565,84.49723307291667,115.17589644311178,141.12760130116627,294.53106689453125,,139.2595962148839,0.036423904343187104,0.09102030046936016,0.06306323567421668,0.038809073072540876,0.05426842888997592,,0.08924542787448148,-20.52325355843329,-10.345023777173955,20.459818235585498,19.80345132317356,190.18414306640625,,35.017770601850785,362.75682170787144,117.24046493387944,227.9412014821395,310.37071212129655,600.8117160583298,,334.3535551637035,73.0,69.0,71.0,71.0,20.0,,5895.0,364.6822335648493,117.63872848973652,228.63694518143996,311.94285100100285,584.7218951001649,,332.5429516305276
7,EGCC,213.56322454637098,164.5442289464614,190.7783921185662,247.3074218750001,,,196.6176974208781,0.05368294131473059,0.177269049450558,0.10438083083111155,0.06816696461540467,,,0.16100961551466372,113.37260584677429,-66.53348675896146,62.38276941636036,215.74746093750016,,,89.65336490634112,268.62933491260725,266.8586388106707,226.97006196177352,303.5962517042352,,,257.4192508088542,31.0,17.0,17.0,20.0,,,1271.0,247.55871535133852,266.3850690505247,224.94507452055115,219.14599110826651,,,241.3975824983164
8,EGKK,204.87733677455364,129.750971476237,189.87290954589847,,,,174.6187573552492,0.06362078453175829,0.13919464944508783,0.10324896577847742,,,,0.12966434927142476,97.71178950095677,-34.93936157226568,21.981155395507937,,,,40.678223639456576,271.7860917045985,150.3288156426882,257.574704976536,,,,248.99477275799487,49.0,24.0,24.0,,,,1324.0,256.24224402865974,149.35686063206785,262.15473184241483,,,,245.7423248623244
9,EGLL,246.33628627232147,119.04989284939236,270.27558336759876,,,,203.30021147727967,0.08028686402887285,0.1274726337221609,0.14723344926787577,,,,0.1972864074298701,87.7896344866073,44.966722276475664,2.7946777343751554,,,,57.34896858533229,339.8112666004219,138.56612568050613,447.0545932428635,,,,324.74988118163344,35.0,18.0,19.0,,,,960.0,333.06790044732276,134.86685620154296,459.29595779253754,,,,319.81263721810075
10,EHAM,182.90830137671492,105.11600699075838,150.27985280967619,239.5426968661222,,,145.55637685453917,0.047580951592926427,0.11356221360294973,0.08213039065256335,0.0660384755197785,,,0.1171013592657265,57.65368056878819,-15.707982505240134,23.41850703595645,99.62790194424734,,,37.023477848756215,266.5520863791063,167.32635203295447,210.08944552395684,331.7764586882061,,,226.4683346888209,82.0,82.0,83.0,44.0,,,5033.0,261.84383163369944,167.61257961137144,210.04933618626856,320.12336235991216,,,223.44370353804212
11,EIDW,183.142529296875,115.10059204101563,120.73084852430563,190.19338378906255,,,188.74551652101866,0.048259276666880534,0.12426545332102652,0.06612777098106767,0.05168825570786121,,,0.13611437192545733,24.08692737926144,92.45717163085932,12.992865668402905,47.19831542968765,,,21.280539354755383,240.915633167401,156.9240557988475,142.92496100201092,226.7524570727882,,,276.2815281188433,55.0,10.0,9.0,30.0,,,894.0,241.9178358705307,133.65307787278402,150.96711946328853,225.57741039037415,,,275.6149340750163
12,EKCH,223.3176332131411,82.70137214660645,94.57203754625823,107.77844551282061,128.47239854600696,,111.53974360878985,0.034302095429825416,0.08945404961970838,0.05149150400124305,0.02967591093823643,0.023655273197840103,,0.05999652938402414,8.20224859775592,-14.094312667846715,-28.252393220600208,1.8784304887822263,-15.083699544270834,,-0.9253608857502923,332.4406045272987,103.42302970023012,123.83120461602381,130.98345451791258,152.6544313461715,,159.44532687213393,39.0,32.0,38.0,39.0,36.0,,3898.0,336.6838931166991,104.09758906592145,122.18360591700545,132.68208317127733,154.06221999443892,,159.46309741408405
13,EPWA,344.7945059317132,86.26693612557872,108.68514901620371,191.4058750697544,221.6065673828125,280.6527587890626,182.3178643403244,0.045565213192657564,0.09251463642463013,0.059279067944908274,0.052756144558155076,0.04082855042678605,0.03882937208717306,0.12484764582706838,-155.498498987269,-23.252866391782444,59.49062319155104,-68.91068812779001,-95.66763741629464,-121.98811035156305,-48.741523044674565,393.33080723582435,114.02440252967806,173.49763590050213,254.1600151909856,280.21314073641526,331.7396369581621,252.32639922054938,27.0,27.0,27.0,28.0,28.0,20.0,3451.0,368.1707484204469,113.75470431084312,166.08408160353025,249.12897527941462,268.2093576260911,316.5107259544264,247.60985789304468
14,LBSF,290.4786682128907,141.31568908691406,117.93253820082717,179.8982795266544,228.4492652529762,325.31856282552076,190.4032896336387,0.03816718726754443,0.1507778373519376,0.06446565752536569,0.04960529740397443,0.042052415121444836,0.044999928365418,0.06590830877549302,-61.29153442382852,-78.03599548339847,-58.187277401194734,-1.7094582950366846,-36.49437313988095,127.63773600260379,-13.44217114928794,372.82519478178205,190.4853239521495,141.71251923733598,251.05588660304653,267.0279039177915,398.47598915835425,256.56175360303666,16.0,16.0,17.0,17.0,21.0,12.0,2244.0,379.8132504931638,179.46599915696675,133.19242202845302,258.77648549912334,271.05472751798527,394.26579260538784,256.2664770699878
15,LFLL,88.37511127751048,59.3445799085829,,,,,60.35160783412997,0.06835884923268995,0.0637197458827694,,,,,0.23088578162067758,20.860714423947236,4.650696648491715,,,,,12.878169847419334,132.44400609927038,74.51896902152154,,,,,110.17018197199548,82.0,72.0,,,,,1671.0,131.59572014121952,74.89563057822646,,,,,109.44766042677364
16,LFML,126.22387313842773,91.79617402047822,,,,,87.33134501191935,0.15126861211598047,0.09848931909472523,,,,,0.5537006800844066,-37.215915679931655,27.608219031131576,,,,,-37.662686171583985,348.5346638788028,108.4918500808743,,,,,336.16133875196834,64.0,33.0,,,,,1003.0,349.28154839030924,106.54706070040996,,,,,334.21150635954433
17,LFMN,188.70155209400616,105.87269825046346,260.6853957403274,,,,136.31584749518794,0.11827316935230686,0.11234065827403812,0.14343514655734996,,,,0.22407408951850008,-1.802686347335989,-53.66108212228553,147.74321056547637,,,,24.719525842765634,304.22636952314105,160.37635795739766,360.8615419181612,,,,259.75921345313355,61.0,59.0,21.0,,,,1445.0,306.74572771664907,152.42990491797318,337.36129887070047,,,,258.6698640785054
18,LFPG,160.62222372519005,73.4004474796661,144.83563842773438,,,,100.95694013058774,0.07438441641532961,0.07860792155095947,0.07908787637277093,,,,0.1448451733385209,37.9931261217273,-20.96137561536819,40.126287841796994,,,,20.30838401734466,207.20339800480585,123.99485059653877,193.32806536790082,,,,156.31440104856915,74.0,73.0,60.0,,,,2608.0,205.08077319181356,123.05599959380325,190.71397133927877,,,,155.01927572081445
19,LFPO,185.35697897886618,80.02907938352773,153.40548885569854,,,,104.27523610606947,0.09194786908098235,0.08661874024286788,0.0836009877155301,,,,0.18036319147567872,54.75336632361791,-10.480402556943254,76.00440410539228,,,,12.558899602388108,295.726725041054,107.41809257270477,197.02286187344163,,,,198.74850972545346,78.0,71.0,51.0,,,,2375.0,292.49478745093774,107.66650573270776,183.58149533799204,,,,198.3930863545184
20,LFRS,51.15797409921322,,,,,,43.81115965621359,0.09604795646200161,,,,,,0.3360501463116086,-0.7302284960477096,,,,,,-12.80345003675587,78.7847055239575,,,,,,94.16998816379494,53.0,,,,,,489.0,79.53522675211447,,,,,,93.39108374488582
21,LGAV,,145.94588586055872,226.16573392427884,145.1374755859375,108.79518479567301,,122.25489718909566,,0.15432225941218022,0.12292189533873683,0.039957654223461016,0.01987497983201987,,0.14207227926577176,,-56.88127737334283,31.8974797175482,51.73688964843759,-1.4781024639423777,,1.2381898181874555,,245.28544069072828,293.29188379534065,172.4441894958365,135.08769183540414,,183.65977666108822,,33.0,13.0,10.0,13.0,,1601.0,,242.29839777601148,303.45714119989367,173.39836196964796,140.59531051947218,,183.71298623656327
22,LHBP,218.4095458984375,64.48532774390245,123.50013765375661,143.64116522606386,203.12277088994566,,147.35262769741644,0.03727144261079523,0.06682689760915637,0.06733472100091678,0.03951194282061297,0.03734719082761868,,0.07692144795306699,-28.621629797894418,-34.199072861089974,-40.30270061087086,-27.698730468749865,-37.05001698369565,,-27.540782135143047,281.9451032247153,79.9482103398135,155.3063670648834,188.7500877524555,260.9188531756996,,202.8194073528437,46.0,41.0,47.0,47.0,46.0,,4752.0,283.58799546936444,73.16210252432911,151.60738186076247,188.72516651942078,261.12889250182724,,200.96197649294734
23,LIMC,150.8342735653831,106.4081544618349,131.82570418392316,,,,118.3635949836314,0.055065598804392595,0.11248192401156108,0.07199120667552712,,,,0.18208613952251068,-39.858242943173245,-69.28930746542446,-43.85499517601647,,,,-37.185843603356496,199.29757275122884,147.8182323479168,171.4568432717048,,,,179.39563635641755,84.0,74.0,83.0,,,,3420.0,196.44401421445554,131.46395957606293,166.76102536897545,,,,175.5249721931364
24,LIPE,167.1306927655194,86.33904027227148,169.9541144120066,373.02056012834834,,,150.38584415395232,0.04780471912660266,0.09186206198864562,0.09297595153925077,0.10265888407980905,,,0.1528610437131329,56.96322219436247,-27.906714595965525,55.9201210423521,373.0205601283484,,,57.08368408016972,255.07155830499084,122.37952803893388,248.6165638904875,474.9959785431959,,,243.37585282032725,74.0,67.0,76.0,14.0,,,3668.0,250.32677675799758,120.05450775641596,243.85564934068233,305.1702902860304,,,236.61894005852602
25,LIPZ,175.69929504394528,92.99077651079966,140.19676931280833,194.8701808763587,,,130.2533630750571,0.04700956943903985,0.09802354373816641,0.07665507122494954,0.05376688030103755,,,0.15571941303297424,-34.93226013183583,-60.77928071863514,-58.896177593030295,4.714514690896848,,,-40.139347588524615,259.48652558064776,118.04466288814633,180.08317314223885,326.405992204202,,,198.04365215327914,80.0,68.0,76.0,46.0,,,4392.0,258.7467246242846,101.94735692120413,171.3106497198192,329.9783721703857,,,193.95537169156762
26,LIRF,215.67458767361106,156.74996948242188,256.4182210286459,,,,132.43318466461207,0.06198617828863398,0.1683003788334735,0.13916164179645082,,,,0.2698711614647044,0.7338867187502527,-101.09179306030276,131.5184326171876,,,,-6.3959531066486885,250.26269269788827,337.69773903892275,322.97159884836424,,,,229.36862543739315,9.0,32.0,15.0,,,,1236.0,265.4425293025157,327.3671508187763,305.3339311508918,,,,229.37223929207164
27,LIRN,246.97542317708317,102.51413181849888,140.54967041015635,,,,114.25312818148187,0.0685750989858573,0.1090758042737466,0.07676810701664892,,,,0.21584228138260422,-3.9807942708331816,-56.25096130371099,44.75291748046893,,,,-10.708540471529965,276.5330440139226,123.74911076196949,168.91489315219968,,,,157.9128924402135,6.0,28.0,10.0,,,,941.0,302.89538334265717,112.2482053754131,171.68905195668052,,,,157.63316573404137
28,LKPR,259.6637660435267,95.00959716796876,155.14475795200892,219.16686559606475,255.92616489955358,,175.37723937659962,0.04731124868008422,0.10178645139598952,0.08483596769180904,0.06034694762025728,0.047194214820569194,,0.11310448801802674,29.8842599051338,6.921872558593723,36.390537806919745,-5.342502170138704,161.08966936383928,,31.491563191179402,317.04758493359054,113.6365297953415,205.76759135767804,281.88970869008546,327.4752876925663,,240.92063528061468,28.0,25.0,28.0,27.0,14.0,,2440.0,321.4279977791266,115.76443657366833,206.24049711130382,287.2079231732293,295.87712556580647,,238.90254312087748
29,LOWW,241.17094116210933,93.9899565283932,182.41240049663347,203.58919740334534,272.4450922947304,,196.54812179097615,0.041062660405952814,0.09963405669227902,0.0995998097517866,0.05611142340925223,0.05017459545841662,,0.1260869829525445,18.911248779296567,-4.179633752623631,75.35369431345097,30.083857609675626,100.7636048560049,,55.42794667504937,378.15704856899276,150.4951644187783,295.32837511846895,339.77905825837894,438.1413776202164,,344.8461058903909,80.0,67.0,76.0,78.0,51.0,,6870.0,380.066773682916,151.57250423945263,287.45065460957966,340.63523651716696,430.6400515207001,,340.38719806328453
30,LPPT,,,,,,,24.65299940109253,,,,,,,0.4960593761283556,,,,,,,-0.12371333440145271,,,,,,,26.219840825791795,,,,,,,12.0,,,,,,,27.38542574451035
